iter	RMSE
0	0.3273184657
1	0.2847199074
2	0.2607669175
3	0.2436649015
4	0.2329201265
5	0.2251285312
6	0.2194335851
7	0.2156983816
8	0.2099467865
9	0.2066819789
10	0.2026204766
11	0.2011556912
12	0.1979241558
13	0.1954316892
14	0.1929618551
15	0.190559928
16	0.1878972126
17	0.1858344414
18	0.1841224525
19	0.1826544464
20	0.1816899659
21	0.1795885452
22	0.1781281375
23	0.1773132551
24	0.1757334842
25	0.1749308899
26	0.1741985137
27	0.1732109378
28	0.1719942061
29	0.1708735207
30	0.168800138
31	0.1674061369
32	0.1666004961
33	0.1645161065
34	0.1642637636
35	0.1632441418
36	0.1615459582
37	0.1608821135
38	0.1601762635
39	0.1590063966
40	0.1582763161
41	0.1573827213
42	0.1564399125
43	0.1553785386
44	0.1543442329
45	0.153172402
46	0.1523548318
47	0.1513925195
48	0.1503268442
49	0.1492665753
50	0.1481776562
51	0.1470714475
52	0.1464946835
53	0.1456508287
54	0.1447268469
55	0.1433928692
56	0.1425340039
57	0.1416886812
58	0.141384045
59	0.140897741
60	0.1397196742
61	0.1391382923
62	0.1387121932
63	0.138251109
64	0.137613368
65	0.1373776979
66	0.1366710925
67	0.135590781
68	0.1349222016
69	0.1342618152
70	0.1338873084
71	0.1334717584
72	0.1327069022
73	0.1323253375
74	0.1318286378
75	0.1312058055
76	0.1304011495
77	0.1294313036
78	0.1290054247
79	0.1283832612
80	0.1277218626
81	0.127518253
82	0.1272371644
83	0.1267824722
84	0.1261039263
85	0.1255167407
86	0.1252219078
87	0.1247317936
88	0.1238693698
89	0.1233851151
90	0.1231592864
91	0.1228753074
92	0.1223777917
93	0.1221582019
94	0.121744108
95	0.121429453
96	0.1211731624
97	0.1207220906
98	0.1205868268
99	0.1201416853
100	0.1198894649
101	0.1192811137
102	0.1190805043
103	0.1189619703
104	0.1186742064
105	0.1182925644
106	0.1179382061
107	0.1175901194
108	0.1172619059
109	0.1170191263
110	0.1166602379
111	0.1162839227
112	0.1161075077
113	0.1158303227
114	0.1156316387
115	0.1153099444
116	0.1149720183
117	0.1148883701
118	0.1146869753
119	0.1145426943
120	0.1142935778
121	0.1140538567
122	0.1139313876
123	0.1134256639
124	0.1130773753
125	0.1127692785
126	0.112599061
127	0.1125460727
128	0.1123179246
129	0.1118704991
130	0.1115737054
131	0.1110117959
132	0.1105268321
133	0.1102142612
134	0.1099693985
135	0.1098280913
136	0.109612838
137	0.1094448065
138	0.109217548
139	0.1088036052
140	0.1085166976
141	0.1083833278
142	0.1081881542
143	0.1079661712
144	0.1076620114
145	0.1075027376
146	0.1072204509
147	0.1068558159
148	0.1066817511
149	0.1063613608
150	0.1059283638
151	0.1057503681
152	0.1055222222
153	0.105320145
154	0.1050845595
155	0.1047791721
156	0.1045238283
157	0.1043367437
158	0.10416326
159	0.1039445531
160	0.1034501424
161	0.1033095202
162	0.1031085228
163	0.1029219831
164	0.102528598
165	0.1024417804
166	0.1020582891
167	0.1018725559
168	0.1016972465
169	0.1013899186
170	0.1011242636
171	0.1009201822
172	0.1007040316
173	0.1001411892
174	0.09992929
175	0.09966727513
176	0.09937835582
177	0.09928148569
178	0.09915258306
179	0.09908318501
180	0.09898749642
181	0.09868509317
182	0.09857514413
183	0.09841601963
184	0.09826672587
185	0.09821245098
186	0.09804670376
187	0.09781284388
188	0.09766285357
189	0.09725961687
190	0.097146309
191	0.09703451472
192	0.09684155026
193	0.09663417255
194	0.09636640407
195	0.09616418175
196	0.0959082207
197	0.09562824429
198	0.09531413199
199	0.09516721277
200	0.09508938258
201	0.09479259246
202	0.09449169166
203	0.09433906016
204	0.09423406372
205	0.09411654999
206	0.09402453182
207	0.0938462738
208	0.09377509414
209	0.09364544987
210	0.09349353721
211	0.09334663655
212	0.09304561197
213	0.09295313058
214	0.09277123367
215	0.09263506096
216	0.09252261154
217	0.09238425592
218	0.09224263572
219	0.09207474806
220	0.09191201375
221	0.09181120509
222	0.09167347702
223	0.09144747154
224	0.09127160853
225	0.09119488849
226	0.09108628892
227	0.09089180568
228	0.09078721412
229	0.09055788464
230	0.090372484
231	0.09012136732
232	0.08998335055
233	0.08974889538
234	0.08950573917
235	0.08936233242
236	0.08919305036
237	0.08904149129
238	0.08890611164
239	0.08880318165
240	0.08860021522
241	0.08843721299
242	0.08828807846
243	0.08823776141
244	0.08818333971
245	0.08797735621
246	0.08787195102
247	0.08775843729
248	0.08763032914
249	0.08751695989
250	0.08743878496
251	0.08733260633
252	0.08718914572
253	0.08712414579
254	0.08703846034
255	0.08693567692
256	0.08681368353
257	0.0867774152
258	0.08660474439
259	0.08647576156
260	0.08631964343
261	0.08616817953
262	0.08598278749
263	0.08583331057
264	0.08578430506
265	0.08555420786
266	0.08539635197
267	0.08522531293
268	0.08510343985
269	0.08499593946
270	0.08486987958
271	0.08481555507
272	0.08475406726
273	0.08459067823
274	0.08449714398
275	0.08435506743
276	0.08423399998
277	0.08418753162
278	0.08398521476
279	0.08363364442
280	0.08345647583
281	0.08340557401
282	0.08333516477
283	0.08325067219
284	0.08322119935
285	0.08308721992
286	0.0830504105
287	0.08294086716
288	0.08281523857
289	0.08277896047
290	0.08271552402
291	0.08260570354
292	0.08250096774
293	0.08237644066
294	0.08224560919
295	0.0821586374
296	0.08200433619
297	0.0819093199
298	0.08185046424
299	0.08152913261
300	0.08134478105
301	0.08121189806
302	0.08108937577
303	0.08103036281
304	0.08094356259
305	0.08083974115
306	0.08070779761
307	0.08067888129
308	0.08055968662
309	0.08041218095
310	0.08033964405
311	0.08030110435
312	0.08017321327
313	0.08007638714
314	0.07996969168
315	0.07984152969
316	0.07973331718
317	0.07955877867
318	0.07943063357
319	0.07920362322
320	0.07915002279
321	0.07905361391
322	0.07893886168
323	0.0788838422
324	0.07872330716
325	0.07855825282
326	0.0784809743
327	0.07834728132
328	0.07824958272
329	0.07811588649
330	0.07799205512
331	0.07790319641
332	0.07781611699
333	0.07766514172
334	0.07757119764
335	0.07735012651
336	0.07724148884
337	0.07716300061
338	0.07708516334
339	0.07697036339
340	0.07682307174
341	0.07674444932
342	0.07659589112
343	0.076486357
344	0.07646016914
345	0.07634435573
346	0.07628647311
347	0.07614585698
348	0.07606033606
349	0.07598452996
350	0.07594704171
351	0.07584923563
352	0.07573381992
353	0.07569977431
354	0.07558786967
355	0.07553186973
356	0.07540679579
357	0.07520605675
358	0.07511104776
359	0.07504479112
360	0.07499328311
361	0.07491271704
362	0.07486239522
363	0.07477313912
364	0.07472007804
365	0.07466197427
366	0.0746040227
367	0.07453987674
368	0.0744332596
369	0.07437707415
370	0.07433431679
371	0.07420934477
372	0.07414622291
373	0.07404325143
374	0.07397069818
375	0.0739068908
376	0.073752008
377	0.07367387707
378	0.07356555091
379	0.07338491332
380	0.07331659598
381	0.07322659756
382	0.07317728934
383	0.073114735
384	0.07304829733
385	0.07297804267
